B23025_001E,B23025_001EA,B23025_001M,B23025_001MA,B23025_002E,B23025_002EA,B23025_002M,B23025_002MA,B23025_003E,B23025_003EA,B23025_003M,B23025_003MA,B23025_004E,B23025_004EA,B23025_004M,B23025_004MA,B23025_005E,B23025_005EA,B23025_005M,B23025_005MA,B23025_006E,B23025_006EA,B23025_006M,B23025_006MA,B23025_007E,B23025_007EA,B23025_007M,B23025_007MA,GEO_ID,NAME,state,zip code tabulation area
26740,,1043,,17126,,925,,17126,,925,,15364,,819,,1762,,328,,0,,29,,9614,,651,,8600000US75224,ZCTA5 75224,48,75224
24436,,710,,17231,,713,,17231,,713,,16667,,711,,564,,158,,0,,29,,7205,,467,,8600000US75238,ZCTA5 75238,48,75238
2417,,328,,1202,,225,,1202,,225,,1151,,214,,51,,39,,0,,14,,1215,,265,,8600000US75422,ZCTA5 75422,48,75422
9516,,408,,5320,,409,,5320,,409,,4845,,418,,475,,163,,0,,21,,4196,,360,,8600000US75428,ZCTA5 75428,48,75428
2225,,229,,1214,,174,,1214,,174,,1133,,165,,81,,45,,0,,14,,1011,,152,,8600000US75433,ZCTA5 75433,48,75433
15772,,673,,11262,,726,,11262,,726,,10536,,689,,726,,264,,0,,25,,4510,,595,,8600000US75134,ZCTA5 75134,48,75134
4051,,506,,2660,,392,,2660,,392,,2554,,370,,106,,82,,0,,14,,1391,,255,,8600000US75226,ZCTA5 75226,48,75226
3305,,401,,1743,,357,,1743,,357,,1644,,343,,99,,77,,0,,14,,1562,,280,,8600000US75969,ZCTA5 75969,48,75969
4720,,554,,2827,,342,,2827,,342,,2637,,320,,190,,120,,0,,19,,1893,,341,,8600000US75125,ZCTA5 75125,48,75125
16571,,651,,11301,,581,,11301,,581,,10762,,594,,539,,169,,0,,25,,5270,,605,,8600000US75094,ZCTA5 75094,48,75094
42044,,1471,,26165,,1206,,26140,,1196,,25153,,1110,,987,,257,,25,,29,,15879,,976,,8600000US75227,ZCTA5 75227,48,75227
1121,,271,,892,,252,,892,,252,,874,,254,,18,,30,,0,,14,,229,,120,,8600000US75132,ZCTA5 75132,48,75132
15492,,679,,9800,,549,,9800,,549,,9166,,533,,634,,200,,0,,21,,5692,,515,,8600000US75137,ZCTA5 75137,48,75137
41185,,1039,,27275,,995,,27275,,995,,25964,,984,,1311,,281,,0,,32,,13910,,761,,8600000US75149,ZCTA5 75149,48,75149
45379,,1082,,31173,,1090,,31151,,1090,,29718,,1022,,1433,,342,,22,,26,,14206,,846,,8600000US75150,ZCTA5 75150,48,75150
2177,,315,,1879,,264,,1879,,264,,1762,,249,,117,,87,,0,,14,,298,,146,,8600000US75202,ZCTA5 75202,48,75202
20236,,593,,12175,,503,,12175,,503,,11857,,476,,318,,100,,0,,25,,8061,,459,,8600000US75205,ZCTA5 75205,48,75205
28011,,826,,20354,,709,,20354,,709,,19866,,694,,488,,166,,0,,29,,7657,,585,,8600000US75214,ZCTA5 75214,48,75214
2594,,416,,1936,,403,,1936,,403,,1906,,407,,30,,33,,0,,14,,658,,214,,8600000US75251,ZCTA5 75251,48,75251
