TAD Map,Document Number,SiteNumber,PIN,GeoCd,SaleDate,SalePrice,LandSizeSF,SalePricePSF,LandSizeAc,SalePricePAC,Confidenti,NumberOfPINs
2126-356,D222039266,80864768,7909373,3825-4-26R2,02/10/2022,"$400,000.00","131,551",$3.04,3.020,"$132,451.00",,1
2126-364,D223017008,80690521,5729327,46282-11,01/31/2023,"$200,000.00","84,158",$2.38,1.932,"$103,520.00",,1
2126-376,D221160758,80529003,6044743,23730--17B2,05/28/2021,"$115,000.00","25,162",$4.57,0.578,"$199,086.00",,1
2126-404,D221374130,80468624,5488850,25785-6-1A,12/23/2021,"$360,000.00","189,924",$1.90,4.360,"$82,568.00",,1
2126-424,D221029978,80661556,6517064,13010--4R1,01/28/2021,"$230,000.00","32,987",$6.97,0.757,"$303,720.00",,1
2126-428,D221138834,80879136,1774891,25975-E-1-70,05/14/2021,"$585,000.00","188,179",$3.11,4.320,"$135,417.00",,1
2132-364,D222166868,80708080,6925421,38234H-4-B,06/30/2022,"$2,100,000.00","435,600",$4.82,10.000,"$210,000.00",,1
2132-372,D222188246,80435300,4906497,A1614-5,07/27/2022,"$8,201,000.00","563,579",$14.55,12.938,"$633,870.00",,2
2132-376,D222037012,80873527,6102360,14510--12,02/03/2022,"$900,000.00","765,468",$1.18,17.573,"$51,216.00",,3
2138-376,D222037012,80873527,6102360,14510--12,02/03/2022,"$900,000.00","765,468",$1.18,17.573,"$51,216.00",,3
2138-376,D221220438,80080979,976474,14493-A-1A,07/30/2021,"$450,000.00","86,248",$5.22,1.980,"$227,275.00",,1
2138-376,D221167821,80528333,6038204,16301M-1-3,06/10/2021,"$600,000.00","470,592",$1.27,10.803,"$55,539.00",,3
2138-380,D223048421 CWD,800060926,42732920,48543--92R,02/18/2022,"$450,000.00","228,559",$1.97,5.247,"$85,763.00",,2
2138-380,D221167821,80528333,6038204,16301M-1-3,06/10/2021,"$600,000.00","470,592",$1.27,10.803,"$55,539.00",,3
2138-388,D222289532,80054293,691283,9178-3-36,12/16/2022,"$40,000.00","6,650",$6.02,0.153,"$262,015.00",,1
2138-388,D221297785,80296521,3954900,A 750-6K04,06/17/2022,"$400,000.00","174,678",$2.29,4.010,"$99,749.00",,4
2138-388,D222156665,80296521,3954900,A 750-6K04,06/17/2022,"$400,000.00","174,678",$2.29,4.010,"$99,749.00",,4
