TAD Map,Document Number,SiteNumber,PIN,GeoCd,SaleDate,SalePrice,LandSizeSF,SalePricePSF,LandSizeAc,SalePricePAC,Confidenti,NumberOfPINs
2126-376,D221160758,80529003,6044743,23730--17B2,05/28/2021,115000.0,25162.0,4.57,0.578,199086.0,,1
2126-404,D221374130,80468624,5488850,25785-6-1A,12/23/2021,360000.0,189924.0,1.9,4.36,82568.0,,1
2126-424,D221029978,80661556,6517064,13010--4R1,01/28/2021,230000.0,32987.0,6.97,0.757,303720.0,,1
2126-428,D221138834,80879136,1774891,25975-E-1-70,05/14/2021,585000.0,188179.0,3.11,4.32,135417.0,,1
2132-364,D222166868,80708080,6925421,38234H-4-B,06/30/2022,2100000.0,435600.0,4.82,10.0,210000.0,,1
2132-372,D222188246,80435300,4906497,A1614-5,07/27/2022,8201000.0,563579.0,14.55,12.938,633870.0,,2
2132-376,D222037012,80873527,6102360,14510--12,02/03/2022,900000.0,765468.0,1.18,17.573,51216.0,,3
2138-376,D222037012,80873527,6102360,14510--12,02/03/2022,900000.0,765468.0,1.18,17.573,51216.0,,3
2138-376,D221220438,80080979,976474,14493-A-1A,07/30/2021,450000.0,86248.0,5.22,1.98,227275.0,,1
2138-376,D221167821,80528333,6038204,16301M-1-3,06/10/2021,600000.0,470592.0,1.27,10.803,55539.0,,3
2138-380,D223048421 CWD,800060926,42732920,48543--92R,02/18/2022,450000.0,228559.0,1.97,5.247,85763.0,,2
2138-380,D221167821,80528333,6038204,16301M-1-3,06/10/2021,600000.0,470592.0,1.27,10.803,55539.0,,3
2138-388,D222289532,80054293,691283,9178-3-36,12/16/2022,40000.0,6650.0,6.02,0.153,262015.0,,1
2138-388,D221297785,80296521,3954900,A 750-6K04,06/17/2022,400000.0,174678.0,2.29,4.01,99749.0,,4
2138-388,D222156665,80296521,3954900,A 750-6K04,06/17/2022,400000.0,174678.0,2.29,4.01,99749.0,,4
