geoid,name,B08006001,"B08006001, Error",B08006002,"B08006002, Error",B08006003,"B08006003, Error",B08006004,"B08006004, Error",B08006005,"B08006005, Error",B08006006,"B08006006, Error",B08006007,"B08006007, Error",B08006008,"B08006008, Error",B08006009,"B08006009, Error",B08006010,"B08006010, Error",B08006011,"B08006011, Error",B08006012,"B08006012, Error",B08006013,"B08006013, Error",B08006014,"B08006014, Error",B08006015,"B08006015, Error",B08006016,"B08006016, Error",B08006017,"B08006017, Error",B08006018,"B08006018, Error",B08006019,"B08006019, Error",B08006020,"B08006020, Error",B08006021,"B08006021, Error",B08006022,"B08006022, Error",B08006023,"B08006023, Error",B08006024,"B08006024, Error",B08006025,"B08006025, Error",B08006026,"B08006026, Error",B08006027,"B08006027, Error",B08006028,"B08006028, Error",B08006029,"B08006029, Error",B08006030,"B08006030, Error",B08006031,"B08006031, Error",B08006032,"B08006032, Error",B08006033,"B08006033, Error",B08006034,"B08006034, Error",B08006035,"B08006035, Error",B08006036,"B08006036, Error",B08006037,"B08006037, Error",B08006038,"B08006038, Error",B08006039,"B08006039, Error",B08006040,"B08006040, Error",B08006041,"B08006041, Error",B08006042,"B08006042, Error",B08006043,"B08006043, Error",B08006044,"B08006044, Error",B08006045,"B08006045, Error",B08006046,"B08006046, Error",B08006047,"B08006047, Error",B08006048,"B08006048, Error",B08006049,"B08006049, Error",B08006050,"B08006050, Error",B08006051,"B08006051, Error"
86000US75019,"75019",24679,814,18190,1020,17083,1003,1107,261,923,251,126,79,58,50,55,51,2,5,38,47,8,13,7,12,0,31,23,28,193,107,253,140,5965,690,13438,535,9799,640,9472,666,327,114,258,101,23,26,46,47,17,19,2,5,8,14,0,31,7,12,0,31,9,14,105,84,201,131,3307,449,11241,660,8391,686,7611,654,780,218,665,205,103,69,12,18,38,48,0,31,30,44,8,13,0,31,0,31,14,24,88,56,52,46,2658,403
86000US75022,"75022",13837,1004,9776,847,9066,705,710,447,382,166,211,297,117,119,0,28,0,28,0,28,0,28,0,28,0,28,10,16,173,146,210,114,3668,663,8232,645,5841,528,5368,423,473,329,161,72,211,297,101,109,0,28,0,28,0,28,0,28,0,28,0,28,10,16,140,141,122,79,2119,421,5605,528,3935,494,3698,469,237,143,221,144,0,28,16,24,0,28,0,28,0,28,0,28,0,28,0,28,0,28,33,33,88,76,1549,318
86000US75023,"75023",27292,1358,21169,1243,19628,1198,1541,346,1171,284,265,159,105,64,70,56,9,14,10,18,37,47,14,20,0,31,36,39,217,99,470,189,5330,913,14820,858,11333,760,10566,746,767,209,596,162,145,117,26,33,10,18,0,31,10,18,0,31,0,31,0,31,36,39,129,86,359,163,2953,620,12472,790,9836,802,9062,754,774,217,575,196,120,94,79,54,60,53,9,14,0,31,37,47,14,20,0,31,0,31,88,56,111,93,2377,456
86000US75024,"75024",24412,1253,16772,1073,15495,1138,1277,357,1216,351,61,53,0,31,142,117,73,74,6,10,0,31,63,102,0,31,86,54,610,218,299,113,6503,766,14024,870,9307,690,8701,678,606,185,562,176,44,33,0,31,14,24,14,24,0,31,0,31,0,31,0,31,86,54,356,156,228,91,4033,593,10388,845,7465,741,6794,766,671,321,654,319,17,27,0,31,128,107,59,55,6,10,0,31,63,102,0,31,0,31,254,147,71,70,2470,381
86000US75025,"75025",27581,1462,18315,1000,16904,914,1411,337,1054,294,158,91,199,131,201,140,68,75,34,46,26,32,73,98,0,35,57,47,439,191,469,275,8100,876,14509,938,9670,733,9054,679,616,184,480,150,37,29,99,88,171,136,57,75,20,42,21,31,73,98,0,35,40,41,145,109,235,124,4248,599,13072,1125,8645,857,7850,796,795,269,574,243,121,79,100,80,30,31,11,21,14,21,5,9,0,35,0,35,17,19,294,153,234,169,3852,572
86000US75028,"75028",25662,1092,19305,1038,18037,994,1268,277,1014,221,134,152,120,78,36,27,1,2,8,14,27,21,0,31,0,31,24,33,111,62,343,131,5843,675,13852,646,10567,604,9937,600,630,145,532,135,43,52,55,42,14,17,1,2,8,14,5,8,0,31,0,31,0,31,78,47,173,81,3020,456,11810,718,8738,714,8100,708,638,183,482,138,91,104,65,47,22,19,0,31,0,31,22,19,0,31,0,31,24,33,33,33,170,92,2823,486
86000US75032,"75032",18194,908,15174,1020,13895,936,1279,422,896,296,148,138,235,153,196,126,59,52,0,31,61,80,76,88,0,31,0,31,38,36,206,138,2580,428,9562,567,8252,646,7615,610,637,249,464,190,53,62,120,110,39,44,22,34,0,31,0,31,17,26,0,31,0,31,27,32,141,133,1103,232,8632,648,6922,682,6280,682,642,240,432,187,95,115,115,91,157,120,37,38,0,31,61,80,59,83,0,31,0,31,11,18,65,46,1477,313
86000US75034,"75034",27896,1587,19420,1260,17852,1183,1568,467,1294,378,160,156,114,136,37,47,28,44,9,14,0,31,0,31,0,31,0,31,397,177,383,180,7659,931,14730,925,10474,869,9488,805,986,330,817,276,101,102,68,75,9,14,0,31,9,14,0,31,0,31,0,31,0,31,180,101,283,161,3784,552,13166,1093,8946,796,8364,811,582,206,477,176,59,63,46,64,28,44,28,44,0,31,0,31,0,31,0,31,0,31,217,135,100,83,3875,702
86000US75035,"75035",42965,1483,28683,1351,25586,1314,3097,525,2541,448,357,157,199,108,148,83,55,44,43,41,22,39,28,35,0,35,44,47,376,227,1143,299,12571,1007,24276,953,16117,900,14582,841,1535,376,1332,361,130,72,73,56,106,68,31,33,25,29,22,39,28,35,0,35,44,47,262,158,743,258,7004,747,18689,969,12566,873,11004,839,1562,320,1209,268,227,126,126,94,42,41,24,28,18,29,0,35,0,35,0,35,0,35,114,102,400,159,5567,542
86000US75038,"75038",18944,1588,14889,1411,13293,1344,1596,349,1225,343,154,71,217,117,297,149,131,90,52,45,96,93,18,29,0,31,53,78,216,96,441,168,3048,615,10482,1207,8190,1098,7498,1076,692,227,546,193,26,33,120,105,197,110,66,55,17,23,96,93,18,29,0,31,53,78,82,79,349,154,1611,485,8462,795,6699,681,5795,663,904,266,679,256,128,63,97,71,100,83,65,71,35,38,0,31,0,31,0,31,0,31,134,46,92,73,1437,377
