B08301_001E,B08301_001EA,B08301_001M,B08301_001MA,B08301_002E,B08301_002EA,B08301_002M,B08301_002MA,B08301_003E,B08301_003EA,B08301_003M,B08301_003MA,B08301_004E,B08301_004EA,B08301_004M,B08301_004MA,B08301_005E,B08301_005EA,B08301_005M,B08301_005MA,B08301_006E,B08301_006EA,B08301_006M,B08301_006MA,B08301_007E,B08301_007EA,B08301_007M,B08301_007MA,B08301_008E,B08301_008EA,B08301_008M,B08301_008MA,B08301_009E,B08301_009EA,B08301_009M,B08301_009MA,B08301_010E,B08301_010EA,B08301_010M,B08301_010MA,B08301_011E,B08301_011EA,B08301_011M,B08301_011MA,B08301_012E,B08301_012EA,B08301_012M,B08301_012MA,B08301_013E,B08301_013EA,B08301_013M,B08301_013MA,B08301_014E,B08301_014EA,B08301_014M,B08301_014MA,B08301_015E,B08301_015EA,B08301_015M,B08301_015MA,B08301_016E,B08301_016EA,B08301_016M,B08301_016MA,B08301_017E,B08301_017EA,B08301_017M,B08301_017MA,B08301_018E,B08301_018EA,B08301_018M,B08301_018MA,B08301_019E,B08301_019EA,B08301_019M,B08301_019MA,B08301_020E,B08301_020EA,B08301_020M,B08301_020MA,B08301_021E,B08301_021EA,B08301_021M,B08301_021MA,GEO_ID,NAME,state,place
2584,,435,,2288,,390,,2077,,362,,211,,135,,163,,124,,35,,58,,13,,23,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,0,,19,,161,,139,,135,,90,,1600000US4824036,"Elsa city, Texas",48,24036
1162,,138,,1077,,130,,830,,114,,247,,88,,218,,85,,13,,14,,7,,11,,9,,10,,0,,14,,11,,16,,0,,14,,0,,14,,0,,14,,11,,16,,0,,14,,0,,14,,0,,14,,0,,14,,52,,45,,0,,14,,22,,19,,1600000US4838248,"Junction city, Texas",48,38248
11169,,568,,10201,,642,,8776,,653,,1425,,366,,1123,,345,,170,,110,,46,,52,,43,,53,,43,,66,,0,,25,,0,,25,,0,,25,,0,,25,,0,,25,,0,,25,,36,,63,,61,,66,,0,,25,,710,,262,,56,,49,,105,,81,,1600000US4839352,"Kingsville city, Texas",48,39352
54262,,1159,,47520,,1190,,42460,,1345,,5060,,770,,3932,,652,,540,,240,,410,,359,,131,,108,,47,,50,,1547,,411,,1536,,411,,0,,32,,11,,18,,0,,32,,0,,32,,21,,27,,169,,96,,1116,,291,,1452,,317,,348,,170,,2089,,425,,1600000US4815976,"College Station city, Texas",48,15976
6419,,465,,5800,,451,,4583,,436,,1217,,351,,761,,278,,426,,229,,30,,48,,0,,21,,0,,21,,52,,64,,0,,21,,0,,21,,52,,64,,0,,21,,0,,21,,0,,21,,0,,21,,0,,21,,55,,72,,224,,178,,288,,143,,1600000US4802212,"Alton city, Texas",48,02212
533,,340,,457,,289,,457,,289,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,26,,30,,50,,68,,1600000US4833092,"Heidelberg CDP, Texas",48,33092
813,,246,,771,,249,,754,,245,,17,,27,,17,,27,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,26,,44,,16,,26,,1600000US4843972,"Lopezville CDP, Texas",48,43972
31111,,1050,,28924,,1070,,25549,,1117,,3375,,458,,2293,,395,,754,,218,,236,,141,,64,,35,,28,,45,,56,,56,,56,,56,,0,,32,,0,,32,,0,,32,,0,,32,,9,,18,,25,,40,,10,,16,,270,,179,,193,,145,,1624,,385,,1600000US4848768,"Mission city, Texas",48,48768
771,,224,,671,,194,,599,,190,,72,,47,,29,,29,,11,,19,,27,,43,,5,,8,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,16,,24,,0,,14,,0,,14,,25,,24,,59,,46,,1600000US4849080,"Monte Alto CDP, Texas",48,49080
1447,,636,,1305,,617,,1215,,600,,90,,99,,47,,74,,0,,14,,43,,69,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,13,,26,,46,,55,,83,,111,,1600000US4851900,"North Alamo CDP, Texas",48,51900
